order_item_id,order_id,product_id,quantity,unit_price,discount_pct
1,100001,1006,1,38.50,0.10
2,100001,1080,1,19.14,0.05
3,100002,1022,1,27.34,0.00
4,100003,1015,1,22.31,0.00
5,100004,1079,2,74.62,0.00
6,100004,1067,1,33.59,0.00
7,100004,1041,2,81.45,0.05
8,100005,1025,1,24.20,0.00
9,100006,1064,1,42.55,0.00
10,100007,1016,1,23.24,0.00
11,100007,1037,1,145.98,0.00
12,100007,1066,2,18.19,0.10
13,100008,1054,3,61.29,0.00
14,100008,1064,2,42.55,0.00
15,100009,1014,2,56.86,0.00
16,100010,1035,1,51.62,0.00
17,100010,1043,4,185.49,0.15
18,100011,1017,1,25.52,0.00
19,100011,1037,1,145.98,0.00
20,100011,1010,1,42.65,0.10
21,100012,1052,1,67.85,0.20
22,100012,1027,1,123.47,0.20
23,100012,1052,1,67.85,0.20
24,100013,1078,1,68.03,0.15
25,100013,1013,2,19.73,0.10
26,100013,1026,1,22.74,0.05
27,100013,1061,1,10.53,0.10
28,100014,1055,1,50.44,0.10
29,100015,1064,1,42.55,0.15
30,100016,1039,1,125.57,0.00
31,100016,1039,2,125.57,0.10
32,100016,1055,1,50.44,0.00
33,100017,1013,1,19.73,0.15
34,100018,1015,2,22.31,0.05
35,100018,1023,2,10.70,0.20
36,100019,1059,2,46.39,0.05
37,100019,1080,2,19.14,0.00
38,100020,1014,1,56.86,0.00
39,100021,1052,3,67.85,0.15
40,100021,1078,2,68.03,0.00
41,100022,1015,2,22.31,0.15
42,100023,1069,1,49.10,0.00
43,100024,1057,4,56.24,0.05
44,100024,1003,3,25.07,0.10
45,100024,1032,1,104.13,0.10
46,100024,1051,1,25.37,0.00
47,100025,1075,1,74.40,0.10
48,100025,1038,1,46.33,0.05
49,100025,1063,1,14.47,0.15
50,100026,1071,1,31.77,0.15
51,100026,1054,3,61.29,0.00
52,100027,1021,1,16.90,0.00
53,100028,1044,3,12.75,0.20
54,100028,1060,1,63.95,0.00
55,100028,1050,4,79.54,0.20
56,100028,1047,2,70.37,0.20
57,100029,1017,1,25.52,0.00
58,100029,1078,1,68.03,0.20
59,100030,1046,3,47.85,0.00
60,100030,1021,1,16.90,0.20
61,100030,1065,1,56.22,0.00
62,100030,1044,1,12.75,0.10
63,100031,1046,2,47.85,0.20
64,100032,1014,2,56.86,0.05
65,100032,1059,4,46.39,0.20
66,100033,1072,1,25.15,0.00
67,100033,1022,2,27.34,0.20
68,100033,1027,3,123.47,0.00
69,100033,1038,2,46.33,0.20
70,100034,1018,1,17.88,0.00
71,100035,1044,1,12.75,0.00
72,100035,1011,1,47.68,0.15
73,100035,1054,1,61.29,0.15
74,100036,1055,1,50.44,0.05
75,100037,1002,2,20.29,0.10
76,100038,1008,1,25.87,0.00
77,100039,1067,4,33.59,0.05
78,100039,1052,3,67.85,0.15
79,100039,1071,3,31.77,0.15
80,100040,1019,2,18.46,0.05
81,100040,1027,3,123.47,0.10
82,100041,1039,1,125.57,0.10
83,100042,1070,1,14.18,0.00
84,100042,1066,1,18.19,0.10
85,100043,1034,1,68.99,0.20
86,100043,1039,2,125.57,0.10
87,100044,1007,2,45.10,0.00
88,100045,1075,1,74.40,0.15
89,100045,1069,2,49.10,0.00
90,100045,1045,1,85.65,0.15
91,100045,1074,2,27.33,0.15
92,100046,1047,1,70.37,0.00
93,100046,1055,2,50.44,0.00
94,100047,1048,2,18.53,0.05
95,100048,1055,4,50.44,0.15
96,100048,1063,2,14.47,0.05
97,100049,1066,3,18.19,0.00
98,100050,1016,2,23.24,0.05
99,100050,1015,1,22.31,0.10
100,100051,1039,1,125.57,0.00
101,100051,1019,1,18.46,0.10
102,100051,1054,1,61.29,0.00
103,100051,1037,1,145.98,0.20
104,100052,1062,1,48.81,0.10
105,100053,1017,2,25.52,0.10
106,100053,1059,2,46.39,0.15
107,100053,1058,1,26.06,0.15
108,100054,1051,1,25.37,0.00
109,100055,1040,1,123.72,0.00
110,100055,1072,1,25.15,0.10
111,100056,1065,3,56.22,0.00
112,100056,1069,1,49.10,0.00
113,100056,1036,2,193.46,0.00
114,100057,1006,1,38.50,0.00
115,100058,1015,4,22.31,0.10
116,100059,1053,2,33.56,0.00
117,100060,1019,1,18.46,0.00
118,100061,1077,1,10.69,0.05
119,100062,1071,1,31.77,0.05
120,100063,1013,1,19.73,0.10
121,100063,1017,1,25.52,0.05
122,100063,1058,1,26.06,0.15
123,100063,1065,1,56.22,0.00
124,100064,1072,1,25.15,0.00
125,100065,1062,1,48.81,0.00
126,100065,1049,4,53.08,0.20
127,100065,1028,1,191.46,0.10
128,100065,1037,1,145.98,0.15
129,100066,1018,2,17.88,0.00
130,100067,1034,4,68.99,0.15
131,100067,1058,1,26.06,0.15
132,100067,1042,1,205.47,0.05
133,100067,1077,1,10.69,0.15
134,100068,1023,1,10.70,0.15
135,100068,1063,2,14.47,0.10
136,100068,1011,2,47.68,0.15
137,100068,1010,1,42.65,0.20
138,100069,1023,2,10.70,0.20
139,100070,1003,2,25.07,0.15
140,100071,1029,1,162.75,0.05
141,100071,1047,1,70.37,0.05
142,100071,1078,1,68.03,0.00
143,100072,1025,2,24.20,0.10
144,100073,1034,3,68.99,0.20
145,100074,1069,2,49.10,0.15
146,100074,1072,3,25.15,0.00
147,100075,1056,2,26.43,0.05
148,100075,1036,1,193.46,0.10
149,100075,1060,1,63.95,0.10
150,100075,1006,3,38.50,0.00
151,100076,1025,1,24.20,0.10
152,100077,1026,1,22.74,0.00
153,100077,1009,2,40.20,0.00
154,100077,1004,1,16.52,0.20
155,100077,1004,1,16.52,0.15
156,100078,1007,2,45.10,0.10
157,100079,1058,1,26.06,0.00
158,100080,1057,1,56.24,0.10
159,100081,1049,1,53.08,0.10
160,100082,1060,2,63.95,0.10
161,100082,1080,1,19.14,0.15
162,100083,1077,2,10.69,0.10
163,100084,1080,1,19.14,0.00
164,100085,1046,1,47.85,0.10
165,100085,1019,1,18.46,0.00
166,100086,1019,1,18.46,0.10
167,100086,1072,3,25.15,0.05
168,100087,1044,1,12.75,0.05
169,100087,1060,1,63.95,0.00
170,100087,1075,1,74.40,0.00
171,100088,1006,1,38.50,0.00
172,100088,1029,2,162.75,0.05
173,100088,1080,1,19.14,0.05
174,100089,1002,1,20.29,0.00
175,100090,1047,1,70.37,0.00
176,100090,1026,1,22.74,0.00
177,100091,1026,1,22.74,0.20
178,100092,1015,1,22.31,0.00
