event_id,customer_id,session_id,event_ts,event_type,device
12293,10348,s3000000,2026-08-01 08:28:18,page_view,mobile
12294,10348,s3000000,2026-08-01 08:29:22,page_view,mobile
12295,10348,s3000000,2026-08-01 08:30:55,page_view,mobile
12296,10348,s3000000,2026-08-01 08:32:11,page_view,mobile
12297,10462,s3000001,2026-08-01 07:29:32,page_view,mobile
12298,10462,s3000001,2026-08-01 07:29:40,page_view,mobile
12299,10225,s3000002,2026-08-01 14:24:52,page_view,desktop
12300,10225,s3000002,2026-08-01 14:26:50,add_to_cart,desktop
12301,10225,s3000002,2026-08-01 14:27:20,begin_checkout,desktop
12302,10225,s3000002,2026-08-01 14:27:33,purchase,desktop
12303,10280,s3000003,2026-08-01 17:03:11,page_view,mobile
12304,10280,s3000003,2026-08-01 17:05:04,add_to_cart,mobile
12305,10280,s3000003,2026-08-01 17:07:00,begin_checkout,mobile
12306,10182,s3000004,2026-08-01 07:09:58,page_view,mobile
12307,10182,s3000004,2026-08-01 07:11:30,page_view,mobile
12308,10182,s3000004,2026-08-01 07:12:27,page_view,mobile
12309,10182,s3000004,2026-08-01 07:12:48,page_view,mobile
12310,10182,s3000004,2026-08-01 07:13:10,add_to_cart,mobile
12311,10182,s3000004,2026-08-01 07:14:05,begin_checkout,mobile
12312,10182,s3000004,2026-08-01 07:16:02,purchase,mobile
12313,10640,s3000005,2026-08-01 12:21:26,page_view,desktop
12314,10640,s3000005,2026-08-01 12:22:26,page_view,desktop
12315,10640,s3000005,2026-08-01 12:24:06,page_view,desktop
12316,10640,s3000005,2026-08-01 12:24:58,add_to_cart,desktop
12317,10137,s3000006,2026-08-01 12:09:52,page_view,desktop
12318,10137,s3000006,2026-08-01 12:10:38,add_to_cart,desktop
12319,10334,s3000007,2026-08-01 08:04:18,page_view,mobile
12320,10334,s3000007,2026-08-01 08:06:05,page_view,mobile
12321,10334,s3000007,2026-08-01 08:06:36,add_to_cart,mobile
12322,10334,s3000007,2026-08-01 08:08:31,begin_checkout,mobile
12323,10254,s3000008,2026-08-01 06:17:05,page_view,desktop
12324,10228,s3000009,2026-08-01 00:46:11,page_view,tablet
12325,10228,s3000009,2026-08-01 00:46:15,page_view,tablet
12326,10228,s3000009,2026-08-01 00:47:40,page_view,tablet
12327,10228,s3000009,2026-08-01 00:49:31,page_view,tablet
12328,10510,s3000010,2026-08-01 06:09:00,page_view,mobile
12329,10510,s3000010,2026-08-01 06:10:57,page_view,mobile
12330,10510,s3000010,2026-08-01 06:12:00,page_view,mobile
